2023-08-24 03:56:02.4993||ERROR|VietBaIT.ChuKySo.Api.DigitalSignature.Viettel.MobileCA|Error: The requested security protocol is not supported. |url: |action: 
2023-08-24 03:56:02.4993||ERROR|VietBaIT.ChuKySo.Api.DigitalSignature.Viettel.MobileCA|ERROR: Login to Cloud CA |url: |action: 
2023-08-24 03:56:52.2756||ERROR|VietBaIT.ChuKySo.Api.DigitalSignature.Viettel.MobileCA|Error: The requested security protocol is not supported. |url: |action: 
2023-08-24 03:57:41.8483||ERROR|VietBaIT.ChuKySo.Api.DigitalSignature.Viettel.MobileCA|Error: The requested security protocol is not supported. |url: |action: 
2023-08-24 03:57:51.3862||ERROR|VietBaIT.ChuKySo.Api.DigitalSignature.Viettel.MobileCA|ERROR: Login to Cloud CA |url: |action: 
2023-08-24 03:59:15.7186||ERROR|VietBaIT.ChuKySo.Api.DigitalSignature.Viettel.MobileCA|Error: The requested security protocol is not supported. |url: |action: 
2023-08-24 03:59:20.6867||ERROR|VietBaIT.ChuKySo.Api.DigitalSignature.Viettel.MobileCA|ERROR: Login to Cloud CA |url: |action: 
2023-08-24 03:59:28.0455||ERROR|VietBaIT.ChuKySo.Api.DigitalSignature.Viettel.MobileCA|Error: The requested security protocol is not supported. |url: |action: 
2023-08-24 03:59:28.0508||ERROR|VietBaIT.ChuKySo.Api.DigitalSignature.Viettel.MobileCA|ERROR: Login to Cloud CA |url: |action: 
